student, gpa, time, sex
59,3,4,0
60,2,0,0
60,2.7,1,0
60,2.6,2,0
60,2.8,3,0
60,3.1,4,0
61,2.4,0,0
61,3.1,1,0
61,3.2,2,0
61,3.3,3,0
61,3.5,4,0
62,2.4,0,0
62,2.2,1,0
62,2.5,2,0
62,3,3,0
62,2.9,4,0
63,2.6,0,1
63,3.1,1,1
63,3.1,2,1
63,3.5,3,1
63,3.4,4,1
64,2.4,0,1
64,2.9,1,1
64,2.7,2,1
64,3.3,3,1
64,3.2,4,1
65,1.9,0,0
65,2.9,1,0
65,2.4,2,0
65,2.8,3,0
65,2.8,4,0
66,2.3,0,1
66,2.7,1,1
66,3.2,2,1
66,3.3,3,1
66,3.4,4,1
67,2.6,0,1
67,3,1,1
67,2.5,2,1
67,2.4,3,1
67,2.6,4,1
68,2.3,0,0
68,2.1,1,0
68,2.3,2,0
68,2.8,3,0
68,2.7,4,0
69,2.3,0,0
69,2.3,1,0
69,2.5,2,0
69,2.7,3,0
69,2.7,4,0
70,2.7,0,0
70,2.4,1,0
70,3,2,0
70,3.2,3,0
70,2.9,4,0
71,2.9,0,1
71,2.8,1,1
71,3,2,1
71,2.8,3,1
71,2.9,4,1
72,3,0,1
72,3.1,1,1
72,3.5,2,1
72,3.2,3,1
72,3.7,4,1
73,2.6,0,0
73,2.5,1,0
73,2.6,2,0
73,2.8,3,0
73,2.6,4,0
74,3.5,0,0
74,2.9,1,0
74,2.8,2,0
74,3.1,3,0
74,3.1,4,0
75,2.5,0,1
75,2.5,1,1
75,3.2,2,1
75,3,3,1
75,3.2,4,1
76,2.4,0,0
76,2.9,1,0
76,2.8,2,0
76,3.4,3,0
76,3.3,4,0
77,2.4,0,1
77,3.1,1,1
77,3.2,2,1
77,3.8,3,1
77,4,4,1
78,2.4,0,0
78,2.5,1,0
78,2.1,2,0
78,2.5,3,0
78,2.3,4,0
79,2.3,0,1
79,1.8,1,1
79,2.2,2,1
79,2.3,3,1
79,2.5,4,1
80,3.1,0,1
80,2.8,1,1
80,3,2,1
80,3.1,3,1
80,3.4,4,1
81,2.3,0,1
81,2.4,1,1
81,2.8,2,1
81,3.1,3,1
81,3.3,4,1
82,3.3,0,1
82,3.2,1,1
82,2.7,2,1
82,3.2,3,1
82,3.3,4,1
83,2.5,0,1
83,3.1,1,1
83,3.2,2,1
83,3.3,3,1
83,3.4,4,1
84,2.3,0,0
84,2.1,1,0
84,2.4,2,0
84,2.1,3,0
84,2.2,4,0
85,2.4,0,1
85,2.8,1,1
85,3.1,2,1
85,3.3,3,1
85,3.1,4,1
86,2.7,0,0
86,2.5,1,0
86,3,2,0
86,2.5,3,0
86,2.6,4,0
87,2.3,0,1
87,2.7,1,1
87,2.7,2,1
87,3.2,3,1
87,3.1,4,1
88,2.7,0,0
88,2.8,1,0
88,2.5,2,0
88,2.7,3,0
88,3.1,4,0
89,2.6,0,0
89,2.8,1,0
89,3.2,2,0
89,3,3,0
89,3.1,4,0
90,2.4,0,1
90,2.5,1,1
90,2.7,2,1
90,3,3,1
90,3,4,1
91,2,0,0
91,2.5,1,0
91,2.3,2,0
91,2.5,3,0
91,2.8,4,0
92,2.7,0,1
92,3.2,1,1
92,3.8,2,1
92,4,3,1
92,4,4,1
93,2.9,0,0
93,3.5,1,0
93,3.2,2,0
93,3.3,3,0
93,3.4,4,0
94,2.7,0,1
94,2.9,1,1
94,3,2,1
94,2.7,3,1
94,2.7,4,1
95,2.5,0,1
95,2.5,1,1
95,2.9,2,1
95,2.8,3,1
95,2.7,4,1
96,2.4,0,1
96,2.5,1,1
96,2.8,2,1
96,3.3,3,1
96,3.4,4,1
97,2.3,0,0
97,2.5,1,0
97,3,2,0
97,3.2,3,0
97,2.9,4,0
98,3.3,0,1
98,2.4,1,1
98,3.2,2,1
98,3.2,3,1
98,3.1,4,1
99,2.2,0,1
99,2.7,1,1
99,2.7,2,1
99,2.8,3,1
99,2.8,4,1
100,2.7,0,0
100,2,1,0
100,2,2,0
100,2.3,3,0
100,2.4,4,0
101,2.8,0,1
101,2.7,1,1
101,3.1,2,1
101,3.6,3,1
101,3.6,4,1
102,3.1,0,0
102,2.9,1,0
102,2.7,2,0
102,2.6,3,0
102,2.9,4,0
103,2.2,0,1
103,2.4,1,1
103,2.8,2,1
103,2.8,3,1
103,3.1,4,1
104,2.3,0,1
104,2.8,1,1
104,2.9,2,1
104,3,3,1
104,3.4,4,1
105,3.4,0,1
105,3.9,1,1
105,3.9,2,1
105,3.5,3,1
105,3.9,4,1
106,1.8,0,0
106,2.8,1,0
106,2.6,2,0
106,2.3,3,0
106,2.5,4,0
107,2.4,0,0
107,2.5,1,0
107,2.3,2,0
107,2.3,3,0
107,2.6,4,0
108,2.7,0,0
108,2,1,0
108,2,2,0
108,2.6,3,0
108,2.5,4,0
109,2.7,0,0
109,2.7,1,0
109,2.7,2,0
109,3.1,3,0
109,2.8,4,0
110,2.5,0,0
110,2.3,1,0
110,2.2,2,0
110,2.2,3,0
110,2.2,4,0
111,2.4,0,1
111,2.5,1,1
111,2.2,2,1
111,2.4,3,1
111,2.2,4,1
112,3,0,1
112,3.5,1,1
112,3.2,2,1
112,2.9,3,1
112,3,4,1
113,2.7,0,0
113,2.4,1,0
113,3,2,0
113,2.5,3,0
113,2.6,4,0
114,2.8,0,1
114,2.3,1,1
114,2.8,2,1
114,2.9,3,1
114,3,4,1
115,2.2,0,1
115,2.1,1,1
115,3.1,2,1
115,3,3,1
115,3,4,1
116,2.5,0,1
116,2.3,1,1
116,2.8,2,1
116,2.7,3,1
116,2.9,4,1
117,2.8,0,1
117,2.1,1,1
117,3,2,1
117,3.1,3,1
117,3,4,1
118,2.5,0,1
118,2.4,1,1
118,3,2,1
118,3.3,3,1
118,3.3,4,1
119,2.4,0,0
119,2.5,1,0
119,2.6,2,0
119,2.5,3,0
119,2.8,4,0
120,2.5,0,0
120,3.2,1,0
120,3.2,2,0
120,2.8,3,0
120,3,4,0
121,2.9,0,0
121,2.7,1,0
121,2.6,2,0
121,3,3,0
121,3.3,4,0
122,3,0,1
122,3.3,1,1
122,2.9,2,1
122,3,3,1
122,3.1,4,1
123,2.9,0,0
123,2.3,1,0
123,2.3,2,0
123,2.4,3,0
123,2.2,4,0
124,2.5,0,1
124,3.1,1,1
124,2.5,2,1
124,3.3,3,1
124,3,4,1
125,2.8,0,0
125,2.3,1,0
125,2.7,2,0
125,2.4,3,0
125,2.6,4,0
126,2.5,0,1
126,2.7,1,1
126,2.1,2,1
126,3.1,3,1
126,3,4,1
127,2.7,0,0
127,2.3,1,0
127,2.4,2,0
127,2.6,3,0
127,2.3,4,0
128,3,0,1
128,2.7,1,1
128,2.3,2,1
128,2.7,3,1
128,2.9,4,1
129,2.7,0,1
129,2.8,1,1
129,2.7,2,1
129,2.7,3,1
129,2.9,4,1
130,2.4,0,0
130,2.9,1,0
130,3.6,2,0
130,3.1,3,0
130,3,4,0
131,2.8,0,1
131,3.1,1,1
131,3.2,2,1
131,3.1,3,1
131,3.4,4,1
132,2.2,0,0
132,2.7,1,0
132,3.4,2,0
132,3,3,0
132,3.3,4,0
133,2.5,0,0
133,2.8,1,0
133,2.3,2,0
133,2.1,3,0
133,2.3,4,0
134,2.5,0,1
134,3.1,1,1
134,2.8,2,1
134,2.8,3,1
134,2.9,4,1
135,3,0,1
135,2.7,1,1
135,3,2,1
135,3.1,3,1
135,3,4,1
136,2.8,0,1
136,2.5,1,1
136,2.8,2,1
136,2.4,3,1
136,2.8,4,1
137,2.8,0,0
137,2.1,1,0
137,2.7,2,0
137,2.8,3,0
137,3.1,4,0
138,2.5,0,1
138,2.8,1,1
138,2.7,2,1
138,2.7,3,1
138,2.9,4,1
139,2.5,0,1
139,3.1,1,1
139,3,2,1
139,3.3,3,1
139,3.3,4,1
140,2.5,0,0
140,2.9,1,0
140,2.6,2,0
140,2.6,3,0
140,2.9,4,0
141,2.7,0,1
141,3.1,1,1
141,3.1,2,1
141,3.1,3,1
141,3.4,4,1
142,2.8,0,1
142,2.9,1,1
142,3.1,2,1
142,3,3,1
142,3.1,4,1
143,2.9,0,1
143,2.7,1,1
143,2.4,2,1
143,2.9,3,1
143,3,4,1
144,2.5,0,1
144,3,1,1
144,2.9,2,1
144,3,3,1
144,3,4,1
145,2.4,0,1
145,2.5,1,1
145,2.8,2,1
145,2.9,3,1
145,2.9,4,1
146,2.6,0,1
146,2.4,1,1
146,2.3,2,1
146,2.5,3,1
146,2.5,4,1
147,2.6,0,0
147,2.9,1,0
147,3.4,2,0
147,3.5,3,0
147,3.6,4,0
148,2.5,0,0
148,3,1,0
148,2.5,2,0
148,2.6,3,0
148,2.8,4,0
149,2.7,0,1
149,2.7,1,1
149,2.4,2,1
149,2.9,3,1
149,3,4,1
150,2.7,0,0
150,2.8,1,0
150,2.4,2,0
150,2.4,3,0
150,2.6,4,0
151,2.4,0,1
151,2.5,1,1
151,2.5,2,1
151,2.9,3,1
151,2.7,4,1
152,2.4,0,0
152,2.9,1,0
152,2.7,2,0
152,2.7,3,0
152,2.8,4,0
153,2.5,0,1
153,3,1,1
153,2.7,2,1
153,2.8,3,1
153,3,4,1
154,2.6,0,0
154,2.7,1,0
154,3.2,2,0
154,3.3,3,0
154,3.4,4,0
155,2.7,0,0
155,3.1,1,0
155,2.5,2,0
155,2.7,3,0
155,2.7,4,0
156,2.6,0,0
156,2.7,1,0
156,2.7,2,0
156,3,3,0
156,2.8,4,0
157,3.3,0,1
157,3,1,1
157,3.1,2,1
157,3.3,3,1
157,3.4,4,1
158,3,0,1
158,2.8,1,1
158,2.9,2,1
158,2.7,3,1
158,2.8,4,1
159,3,0,1
159,3,1,1
159,3.1,2,1
159,3.4,3,1
159,3.8,4,1
160,2.9,0,1
160,2.7,1,1
160,3.2,2,1
160,3.4,3,1
160,3.7,4,1
161,2.6,0,0
161,2.5,1,0
161,2.7,2,0
161,2.8,3,0
161,2.8,4,0
162,1.7,0,1
162,2.5,1,1
162,2.2,2,1
162,2.7,3,1
162,2.6,4,1
163,2.2,0,1
163,2.5,1,1
163,2.9,2,1
163,2.9,3,1
163,3.2,4,1
164,2.5,0,0
164,2.4,1,0
164,2.6,2,0
164,2.8,3,0
164,2.8,4,0
165,2.8,0,1
165,2.7,1,1
165,2.9,2,1
165,2.9,3,1
165,2.9,4,1
166,3,0,1
166,2.5,1,1
166,3.2,2,1
166,3.2,3,1
166,3.2,4,1
167,2.7,0,0
167,2.9,1,0
167,3.1,2,0
167,2.8,3,0
167,3.6,4,0
168,2.9,0,0
168,2.9,1,0
168,3,2,0
168,3.3,3,0
168,3.4,4,0
169,2.9,0,0
169,2.7,1,0
169,3,2,0
169,3.2,3,0
169,3.6,4,0
170,2.4,0,0
170,3.1,1,0
170,3.2,2,0
170,3.7,3,0
170,3.6,4,0
171,2.3,0,0
171,2.4,1,0
171,2.7,2,0
171,2.7,3,0
171,2.5,4,0
172,2.7,0,1
172,2.8,1,1
172,3,2,1
172,2.4,3,1
172,2.8,4,1
173,2.2,0,1
173,3.1,1,1
173,3,2,1
173,3.4,3,1
173,3.7,4,1
174,2.8,0,1
174,2.7,1,1
174,2.9,2,1
174,3.2,3,1
174,3,4,1
175,2.3,0,0
175,2.9,1,0
175,3.1,2,0
175,2.8,3,0
175,3.4,4,0
176,2.9,0,0
176,2.7,1,0
176,2.8,2,0
176,2.7,3,0
176,2.6,4,0
177,2.9,0,0
177,3,1,0
177,3.1,2,0
177,2.8,3,0
177,3.3,4,0
178,2.8,0,0
178,2.9,1,0
178,2.8,2,0
178,3,3,0
178,2.9,4,0
179,2.7,0,1
179,3.4,1,1
179,2.5,2,1
179,2.8,3,1
179,2.9,4,1
180,2.9,0,0
180,2.5,1,0
180,2.5,2,0
180,2.5,3,0
180,2.6,4,0
181,2.3,0,0
181,2.4,1,0
181,2.2,2,0
181,2.6,3,0
181,2.6,4,0
182,2.7,0,1
182,3.2,1,1
182,3.1,2,1
182,3.1,3,1
182,3.3,4,1
183,2.7,0,0
183,2.5,1,0
183,2.7,2,0
183,2.3,3,0
183,2.6,4,0
184,2.3,0,1
184,2.8,1,1
184,2.8,2,1
184,3,3,1
184,3.1,4,1
185,2.6,0,1
185,3.1,1,1
185,3,2,1
185,3,3,1
185,3.2,4,1
186,2.2,0,1
186,2.4,1,1
186,3,2,1
186,2.9,3,1
186,3.2,4,1
187,2.4,0,1
187,2.2,1,1
187,2.1,2,1
187,2.4,3,1
187,2.8,4,1
188,2.3,0,1
188,2.7,1,1
188,3.3,2,1
188,3.2,3,1
188,3.1,4,1
189,3.3,0,0
189,3.3,1,0
189,2.8,2,0
189,3,3,0
189,3.1,4,0
190,1.7,0,0
190,2.3,1,0
190,2.7,2,0
190,2.5,3,0
190,2.6,4,0
191,2.4,0,1
191,2.8,1,1
191,2.8,2,1
191,3,3,1
191,3.1,4,1
192,2.9,0,1
192,3,1,1
192,2.4,2,1
192,2.9,3,1
192,2.8,4,1
193,3.1,0,0
193,2.8,1,0
193,2.7,2,0
193,2.7,3,0
193,2.9,4,0
194,2.4,0,0
194,2.4,1,0
194,2.6,2,0
194,3.1,3,0
194,3.4,4,0
195,2.4,0,0
195,2.7,1,0
195,2.2,2,0
195,2.2,3,0
195,2.4,4,0
196,2.2,0,1
196,2.5,1,1
196,2.7,2,1
196,3.1,3,1
196,3.3,4,1
197,2.9,0,1
197,2.5,1,1
197,2.8,2,1
197,3.2,3,1
197,3.3,4,1
198,2.5,0,0
198,2.9,1,0
198,3,2,0
198,3.2,3,0
198,3.3,4,0
199,2.6,0,1
199,2.3,1,1
199,2.7,2,1
199,2.7,3,1
199,2.8,4,1
200,2.8,0,0
200,3.2,1,0
200,3.4,2,0
200,3.5,3,0
200,3.3,4,0
